receipt_id,token_in_address,amount_in,token_out_address,transaction_signer,day
AdLnbFYxyGHbJpZH3ZwGW9xzzQFYfq5xDeaTUi6NZsRu,token.v2.ref-finance.near,211584245229004065696,f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,sbf.near,28-08-2022
JCnL5h3ys3cocHnxji3eiYwQxLXtHZdwQ6HioKtyvCT5,wrap.near,14168116508281444500000000,a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.factory.bridge.near,9e674d8c4f93884de03fc009e2230e32fb11e99832a00de2f0df051e7158f703,28-08-2022
2zsDhaWEShFYnppnmTth7gYz61RjAvikRg2BZ3jW4Apx,meta-pool.near,9822313705802931768342710,wrap.near,tsehosh.near,28-08-2022
GwXEFf4L7qMZKzyGY9aChQyBT4wiKJcMcVkrtL2SWko3,9aeb50f542050172359a0e1a25a9933bc8c01259.factory.bridge.near,1408600000000,wrap.near,buan.near,28-08-2022
7LM2dkMig586T12jiYtnCoBhEzDNHury23ZYpGxxeThi,wrap.near,2499999999999999689621504,deip-token.near,paypass.near,28-08-2022
6gfsjei2PzV6LDg6xfpcZHJnzJV39R7CD4FWg6kZSkUY,deip-token.near,50000000000000000000000,token.v2.ref-finance.near,haismse54.near,28-08-2022
PBvteHsBfMVrGxfdrwoV6V8hamVupeTJK2XLWCmcEaT,token.burrow.near,114573995044676011221,linear-protocol.near,susukute.near,28-08-2022
9xeVCVpJmpoW2fDWwG5US3ztYzYVPHnfV4o7y6MBzeKQ,a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.factory.bridge.near,480766639,usn,sg1983.near,28-08-2022
2ePPwjnqLrsg8ojFnBDHf4kwDW8MhPSTNrEdrNnoWL5v,celo.token.a11bd.near,3873623257639156719461982,token.v2.ref-finance.near,jeph.near,28-08-2022
A5rLuHVzSG6v4vprftz8ANt74WBK3uQQzcTLCocTqyW6,wrap.near,29999999999999999999999986,usn,boobs.zudwa.near,28-08-2022
F92iwg7gE6LfjqNrs8azQ7tGKkUwnx1EZis8XUVWASci,usn,322146545645250000000,2260fac5e5542a773aa44fbcfedf7c193bc2c599.factory.bridge.near,aaceen.near,28-08-2022
DcSv79hSrKCGM35dwLcRjztquTVmcW7CUtJLoo5tZZAP,wrap.near,12067416930796333500000000,aurora,22cbf9172b7207e2e68321cccccaea12df30dff16e741892ca159736ec5bb9b0,28-08-2022
2nX1774ZqAD5TdTQZwTP9FTZrHSNJo5ZDmQzvoiHZx42,wrap.near,20983581955531825500000000,a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.factory.bridge.near,9e674d8c4f93884de03fc009e2230e32fb11e99832a00de2f0df051e7158f703,28-08-2022
A9UiZRzKVG7hkvSTgy5x7JP1qMviY5A91u4eiiazrDmM,marmaj.tkn.near,64465436285193598,wrap.near,castnowski.near,28-08-2022
J8GebLxZXfBS2ygwduqoZrk7stmBmgrkdnkuBqkRAcQQ,token.skyward.near,173734789771906051,wrap.near,castnowski.near,28-08-2022
GvAwoJVRcpNw8dn59nSZQP8i9kDwJeGWJ9pjCakSuHRM,utopia.secretskelliessociety.near,60256152530,wrap.near,nearnftz.near,28-08-2022
Ez4xPHSUCj29qoTuJhjsnhknFN6JR2m4H61ByuEaCrHz,token.paras.near,16104283760603026421,wrap.near,castnowski.near,28-08-2022
7XFiZow1vMJHew9FuEub6tWfkzMYPe6ZhR5Q5Tph5C2M,myriadcore.near,69193744639407323557,wrap.near,castnowski.near,28-08-2022
