receipt_id,token_in_name,token_out_name,token_in_price,token_out_price,swap_volume_usd,transaction_signer,exchange_name,exchange_type,exchange_timestamp
Gpma3orNJ8xWtJ1W6RAi1ZZ7e5PTHDYsnXFDBtmsyu8Q,dai,linear-protocol,1.0023079779120514,4.069023791831525,3.00692,5c95c15a3df6ff62f00fd368f33ebfe3e0da5992c03b693d529d41ce1325a5fa,ref.finance,POOL,1661732124334315208
27YAzW6yF4y9BWJ3Yi6UFLJ17TQX214NYFm5Hu6oDbEx,wrapped-near,oraclechain,3.7743669623571368,0.008150099883352463,778.02536,jreive.near,ref.finance,POOL,1661732111781743062
HPsmrYFCNkqHpsjKYwJ3y6sVD2t1B1qJdATJHD55HjNh,wrapped-near,oraclechain,3.7743669623571368,0.008150099883352463,141.75013,jreive.near,ref.finance,POOL,1661732100658319568
BksGAxGeJFT1DVbpQZqJzs86e2L8U4ncBEssFzJa9XcD,usn,tether-avalanche-bridged-usdt-e,1.0051516114001107,1.003185111444977,25.34705,45ae4e485ee065f5a95a3bad9dd65a67d3207c7fd18e2ceda37afb9c3b807ae7,ref.finance,POOL,1661732015277204659
FnEvVfCnnvSd5mFozaFUkaEV5UDReERkPkaMyYUHKyZQ,wrapped-near,wrapped-bitcoin,3.7743669623571368,20276.905208378128,100.9189,7c5206b1b75b8787420b09d8697e08180cdf896c5fcf15f6afbf5f33fcc3cf72,ref.finance,POOL,1661731624676811069
CxbAPexhTK6D89tP47NMi3hGGTp2ozZWqC2ZxHpT7dBw,wrapped-near,ref-finance,3.7743669623571368,0.36709782199783636,46.67382,jreive.near,ref.finance,POOL,1661731623527509128
6qrVFSJJTgV7Rio9hQbkLShiCUtxMe3QMpV8vnetkHpv,celo,wrapped-near,0.7896279693217413,3.926304977252688,101.4946,7c5206b1b75b8787420b09d8697e08180cdf896c5fcf15f6afbf5f33fcc3cf72,ref.finance,POOL,1661731615212235398
Dm353QDGwMTa1Dk38Kbs7FKtPRgTaMFoyduNszi3YCPq,usd-coin-avalanche-bridged-usdc-e,wrapped-near,1.0032859088066581,3.926304977252688,91.92306,1ffa913656116f1611dfd7a32fdcd89d0630990feb11918c04762270b9d54562,ref.finance,POOL,1661731495237294564
9kyCc4ykcQxei4GXBjNxdCrwVD3FPaCcuSLqAQuUS7FS,wrapped-near,usd-coin-avalanche-bridged-usdc-e,3.7743669623571368,1.0034784753407773,43.42492,9e674d8c4f93884de03fc009e2230e32fb11e99832a00de2f0df051e7158f703,ref.finance,POOL,1661731486048127801
BYswqtuQKkBfR9rVJgXxDXvhmQjyDrkwRkXDQLjhrpuB,wrapped-near,wrapped-bitcoin,3.7743669623571368,20276.905208378128,38.30517,22cbf9172b7207e2e68321cccccaea12df30dff16e741892ca159736ec5bb9b0,ref.finance,POOL,1661731486048127801
3UaXQDB7H4NZktLgx8ejFyVnFpDQWD7AsgM4njBSZSrW,usd-coin-avalanche-bridged-usdc-e,wrapped-near,1.0032859088066581,3.926304977252688,568.48956,d53d7b922cecaec8148b1c8b030fb6d78a86b085ed96bf76e152a9c3e46e3a40,ref.finance,POOL,1661731296954368668
7RLxSAEFkzjasCKXKvJgvL73rQGhKFXV1A9V6ZrDsjM3,tether-avalanche-bridged-usdt-e,wrapped-near,1.0009593203125227,3.926304977252688,1134.3708,d53d7b922cecaec8148b1c8b030fb6d78a86b085ed96bf76e152a9c3e46e3a40,ref.finance,POOL,1661731295718052245
EinKvqDdo677Z37gT1W4pS96WURm54rLZYXA3uzMfs2z,usd-coin-avalanche-bridged-usdc-e,wrapped-near,1.0032859088066581,3.926304977252688,662.10249,7c5206b1b75b8787420b09d8697e08180cdf896c5fcf15f6afbf5f33fcc3cf72,ref.finance,POOL,1661731294420556203
DFTL5DfA6WiQLvVh8RZX16ev3TRVrVdhqgBNWrgRqXFM,tether-avalanche-bridged-usdt-e,wrapped-near,1.0009593203125227,3.926304977252688,1491.42939,7c5206b1b75b8787420b09d8697e08180cdf896c5fcf15f6afbf5f33fcc3cf72,ref.finance,POOL,1661731283858549853
8x7zgyVrKa99amdC7dUaNHgYm8eYSv2HMr1H91kbqNUH,tether-avalanche-bridged-usdt-e,wrapped-near,1.0009593203125227,3.926304977252688,319.2145,1ffa913656116f1611dfd7a32fdcd89d0630990feb11918c04762270b9d54562,ref.finance,POOL,1661731197532292416
CQu3xTc24Vryb2XqPrKNSBmmM1xH4tBF9Bmia5wLUgXv,wrapped-near,tether-avalanche-bridged-usdt-e,3.7743669623571368,1.003185111444977,11.69539,patrikduksin.near,ref.finance,POOL,1661731121729123726
vRJQMGvpvA5x1unE1XRMXTtc4ep5kGvFbnvcCw8x32E,pembrock,ref-finance,0.14789375533796817,0.36709782199783636,17.08485,fa3cc2e1bc60a2209cf8451cce93c975e81af5efe1dc99d422dd3a77a3216596,ref.finance,POOL,1661731116653876984
6KJZtnJhfytgRUjbHiNJiaEHVBKoZgsb2sDNfp4c2Mv7,wrapped-near,wrapped-bitcoin,3.7743669623571368,20276.905208378128,51.72622,22cbf9172b7207e2e68321cccccaea12df30dff16e741892ca159736ec5bb9b0,ref.finance,POOL,1661738578046489523
7t448ToMptUoxuNczxhqmGG8DW1aRT3pjMdtQ9eAvBen,oin-finance,wrapped-near,0.020803034910589394,3.926304977252688,0.02581,0d8ef2a9b41368692211369547ea90fc063ace1bd761c4e80be4a8a0665fe59c,ref.finance,POOL,1661738576728406988
DJgqswz69xV8S9un1Xdj71VdEwwNA8Qkce8A9k6mx1V5,ref-finance,wrapped-near,0.3490445864326606,3.926304977252688,1.08452,7c34728ac3f27ccf253b501f45d014f942cae75eccb6fcc72b40ce2745fe2ce5,ref.finance,POOL,1661738572835273316
Coh5wZvYuQzh7HSVErrwWoq8Yf5svnGAyAJoG2mSRfmu,staked-near,wrapped-near,4.2042925096610935,3.926304977252688,79.27171,mza187.near,ref.finance,POOL,1661738512188546723
CrGBxMMXsBS65UZpEAVXwFgzzqreoccoWtGieNmDc9Sf,ref-finance,wrapped-near,0.3490445864326606,3.926304977252688,1.08452,7c34728ac3f27ccf253b501f45d014f942cae75eccb6fcc72b40ce2745fe2ce5,ref.finance,POOL,1661738485905185023
DTaK8mLQixPKW3fs6Vs9NoCRKo2zgiFtHvyfYPRsYao6,ref-finance,wrapped-near,0.3490445864326606,3.926304977252688,1.04428,0d8ef2a9b41368692211369547ea90fc063ace1bd761c4e80be4a8a0665fe59c,ref.finance,POOL,1661738481905582461
